Density, Iterations, Number of Particles, Virial per Particle, Error Bar
0.1,10000,40,0.706796,0.000194908
0.1,10000,60,0.788093,0.000163204
0.1,10000,80,0.869149,0.000229463
0.1,10000,100,0.831645,0.000202798
0.1,10000,120,0.975225,0.000268487
0.1,10000,140,0.764741,0.000185878
0.1,10000,160,0.900835,0.000185878
0.1,10000,180,0.84093,0.000190708
0.1,10000,200,0.873165,0.000155824
0.001,10000,40,3.1145,0.00908874
0.001,10000,60,2.81393,0.00574298
0.001,10000,80,2.71797,0.00732819
0.001,10000,100,2.30415,0.00625983
0.001,10000,120,2.15703,0.00581376
0.001,10000,140,2.10381,0.00562687
0.001,10000,160,1.93674,0.00519169
0.001,10000,180,1.80751,0.00590498
0.001,10000,200,1.70299,0.0044652
0.005,10000,40,1.08925,0.00269677
0.005,10000,60,1.27292,0.00262707
0.005,10000,80,1.27842,0.00404308
0.005,10000,100,1.13178,0.00315115
0.005,10000,120,1.03023,0.00303073
0.005,10000,140,0.876858,0.00254135
0.005,10000,160,1.03318,0.00277196
0.005,10000,180,0.831236,0.00224645
0.005,10000,200,0.817292,0.00196358
0.01,10000,40,0.732156,0.00184973
0.01,10000,60,0.813239,0.00245685
0.01,10000,80,0.629381,0.000955942
0.01,10000,100,0.714719,0.001405
0.01,10000,120,0.556245,0.000949817
0.01,10000,140,0.570858,0.00102838
0.01,10000,160,0.763748,0.00160715
0.01,10000,180,0.647231,0.0012223
0.01,10000,200,0.59134,0.00142642
0.05,10000,40,0.550775,0.000368222
0.05,10000,60,0.628348,0.000522527
0.05,10000,80,0.485649,0.000497088
0.05,10000,100,0.57295,0.000272936
0.05,10000,120,0.479689,0.000204248
0.05,10000,140,0.542227,0.000335987
0.05,10000,160,0.531044,0.000315983
0.05,10000,180,0.517526,0.000562919
0.05,10000,200,0.585595,0.000583274
0.2,10000,40,1.47961,0.00031997
0.2,10000,60,1.42702,0.000611675
0.2,10000,80,1.53165,0.000170376
0.2,10000,100,1.49748,0.000138746
0.2,10000,120,1.64632,0.000132395
0.2,10000,140,1.73983,0.000210322
0.2,10000,160,1.60123,0.000172522
0.2,10000,180,1.64821,0.000117184
0.2,10000,200,1.65679,0.00013478
0.5,10000,40,3.37266,0.00119845
0.5,10000,60,3.67926,0.000365271
0.5,10000,80,3.81376,0.000373411
0.5,10000,100,3.95574,0.000157319
0.5,10000,120,3.80047,0.000312543
0.5,10000,140,3.8696,0.000232493
0.5,10000,160,4.21552,0.000134259
0.5,10000,180,4.05283,0.000175643
0.5,10000,200,4.14003,0.000289347
1,10000,40,5.9842,0.00207063
1,10000,60,7.21821,0.0019325
1,10000,80,8.02138,0.000835824
1,10000,100,7.50881,0.000847295
1,10000,120,7.76926,0.000916473
1,10000,140,8.33374,0.000429861
1,10000,160,8.19798,0.000569657
1,10000,180,8.5191,0.000223457
1,10000,200,8.20209,0.000187486
10,10000,40,9.74205,0.00405914
10,10000,60,17.1975,0.00298073
10,10000,80,23.8228,0.00246382
10,10000,100,30.0411,0.00244419
10,10000,120,35.4984,0.0016598
10,10000,140,40.0647,0.00184083
10,10000,160,44.5458,0.000884532
10,10000,180,48.265,0.00126667
10,10000,200,51.3622,0.0017168
100,10000,40,1.78881,0.00382327
100,10000,60,5.94726,0.00530675
100,10000,80,11.2359,0.00412171
100,10000,100,16.4502,0.00440849
100,10000,120,22.3047,0.0041003
100,10000,140,28.4631,0.00293302
100,10000,160,34.7036,0.00268558
100,10000,180,41.0653,0.00267148
100,10000,200,47.8135,0.0024007
